"MIN201604110",67,"replay,8,eatoa002,CHA,westj901,MIN04,,Y,M,CHA,C $when Adam Eaton was called out at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay","FILENAME_TX","LINE_NUMBER_CT"
"MIN201607040",47,"replay,7,davik003,OAK,culbf901,MIN04,,Y,M,OAK,A $when Danny Valencia was called out at 3B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",38
"MIN201607290",11,"replay,2,navad001,CHA,cedeg901,MIN04,,Y,M,MIN,C $when Justin Morneau was called safe at 2B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",39
"MIN201607310",20,"replay,2,grosr001,MIN,cedeg901,MIN04,,Y,M,CHA,C $when Robbie Grossman was called safe at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",40
"MIN201607310",20,"Twins center fielder Byron Buxton left the game due to an injured knee","2016MIN.EVA.regular.comment.csv",41
"MIN201608112",3,"$Jose Altuve called for interference for running into his own batted ball","2016MIN.EVA.regular.comment.csv",42
"MIN201608140",5,"replay,1,dozib001,MIN,danlk901,MIN04,,Y,M,KCA,C $when Brian Dozier was called safe at 1B, Royals manager Ned Yost challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",43
"MIN201608240",37,"replay,5,cabrm001,DET,culbf901,MIN04,,Y,M,DET,O $when Miguel Cabrera's liner down the LF line was called foul, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",44
"MIN201609010",13,"replay,2,eatoa002,CHA,demud901,MIN04,,N,M,MIN,A $when Tyler Saladino was called safe at 3B, Twins manager Paul Molitor challenged the ruling; the call was upheld by replay","2016MIN.EVA.regular.comment.csv",45
"MIN201609010",30,"White Sox shortstop Tim Anderson left the game due to an injured leg","2016MIN.EVA.regular.comment.csv",46
"MIN201609010",39,"replay,4,keplm001,MIN,demud901,MIN04,F,N,U,,H $Max Kepler's line drive to RF landed in the seats and was ruled a foul ball; crew chief Dana DeMuth requested a review, which upheld the call by replay","2016MIN.EVA.regular.comment.csv",47
"MIN201609010",81,"replay,9,frazt001,CHA,demud901,MIN04,,Y,M,CHA,C $when Todd Frazier was called out at 1B, White Sox manager Robin Ventura challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",48
"MIN201609020",73,"$Strike three was not caught by Suzuki, who stepped on plate for third out","2016MIN.EVA.regular.comment.csv",49
"MIN201609070",2,"replay,1,orlap001,KCA,barrt901,MIN04,,Y,M,MIN,A $when Jarrod Dyson was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",50
"MIN201609090",45,"Indians pitcher Danny Salazar left the game due to an injured arm","2016MIN.EVA.regular.comment.csv",51
"MIN201609200",27,"replay,4,uptoj001,DET,cedeg901,MIN04,,Y,M,DET,A $when Miguel Cabrera was called out at HP, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",52
"MIN201609221",8,"replay,1,sanom001,MIN,cedeg901,MIN04,,Y,M,DET,A $when Max Kepler was called safe at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",53
"MIN201609222",62,"Twins right fielder Max Kepler left the game due to an injured neck","2016MIN.EVA.regular.comment.csv",54
"MIN201609240",58,"replay,8,buxtb001,MIN,laynj901,MIN04,,Y,M,SEA,C $when Byron Buxton was called safe at 1B, Mariners manager Scott Servais challenged the ruling; the call was overturned by replay","2016MIN.EVA.regular.comment.csv",55
"MIN201609250",3,"umpchange,1,umphome,wendh902 umpchange,1,ump1b,basnt901 umpchange,1,ump2b,(None) $a foul ball struck HP Umpire Jerry Layne on the mask and left shoulder; Layne was staggered by the blow and left with concussion-like symptoms; 1B Umpire Hunter Wendelstedt moved to HP and 2B Umpire Toby Basner moved to 1B","2016MIN.EVA.regular.comment.csv",56
"MIN201609250",63,"Mariners designated hitter Nelson Cruz left the game due to an injured wrist","2016MIN.EVA.regular.comment.csv",57
